"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9959","Remove past workout through the dashboard","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","removePastTrainingFromDashboardPage"
"","12277","Editing a workout","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","editWorkout"
"","14037","Creating a future workout through the dashboard","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","createFutureTrainingFromDashboardPage"
"","22502","Adding a workout via 'Full Add' button","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","addFullFromCalendar"
"","7794","Negative check for adding a workout","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","negativeAddQuickWorkout"
"","10504","checkLoginWithNegativeCred","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","1284","checkLoginWithNegativeCred","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","4651","Quickly add a workout using the button","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","positiveAddQuickWorkOutForTodayByButton"
"","5973","Creating a past workout through the dashboard","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.CalendarTest","Thread 2","tests.CalendarTest","createPastTrainingFromDashboardPage"
"","1370","checkLoginWithNegativeCred","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","2126","checkLoginWithNegativeCred","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginWithNegativeCred"
"","2001","Correct logout","FinalSurge suite","2026-07-19","passed","2026-07-19","tests.LogoutTest","Thread 2","tests.LogoutTest","positiveLogoutTest"
