"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Workouts","0","Remove workouts","1","0","","0"
"0","Workouts","0","Add workouts","5","0","","0"
"0","Authorization","0","Authorization with invalid credentials","4","0","","0"
"0","Shoes","1","Add shoes","1","0","","0"
"0","Reports","0","Athlete workout report","1","0","","0"
"0","Authorization","0","User logout","1","0","","0"
"0","Shoes","1","Remove shoes","0","0","","0"
"0","Workout calculators","0","Intensity calculator","2","0","","0"
"0","Workouts","0","Edit workouts","1","0","","0"
"0","Shoes","0","Edit shoes","1","0","","0"
